["https://charitywater.knoji.com/questions/charity-water-affiliate-programs/",22358]
["https://rollbicyclecompany.knoji.com/questions/roll-bicycle-company-affiliate-programs/",53695]
["https://pairy.knoji.com/questions/pairy-affiliate-programs/",54656]
["https://balancemeditation.knoji.com/questions/balancemeditation-affiliate-programs/",58404]
["https://iservicecomputerrepair.knoji.com/questions/iservice-computer-repair-affiliate-programs/",58928]
["https://six02.knoji.com/questions/six02-affiliate-programs/",59062]
["https://dealhamster.knoji.com/questions/dealhamster-affiliate-programs/",59193]
["https://branchout.knoji.com/questions/branchout-affiliate-programs/",59435]
["https://dripbit.knoji.com/questions/dripbit-affiliate-programs/",59436]
["https://frpgames.knoji.com/questions/frp-games-affiliate-programs/",59489]
["https://socialshopper.knoji.com/questions/socialshopper-affiliate-programs/",59774]
["https://tmodating.knoji.com/questions/tmo-dating-affiliate-programs/",59843]
["https://newsmartdeals.knoji.com/questions/new-smart-deals-affiliate-programs/",60260]
["https://solutechinc.knoji.com/questions/solutech-inc-affiliate-programs/",62306]
["https://elintusnetwork.knoji.com/questions/elintus-network-affiliate-programs/",62362]
["https://cartonvault.knoji.com/questions/carton-vault-affiliate-programs/",62560]
["https://yorke.knoji.com/questions/yorke-affiliate-programs/",62569]
["https://xoxoplus.knoji.com/questions/xoxo-plus-affiliate-programs/",62606]
["https://nearby.knoji.com/questions/nearby-affiliate-programs/",62712]
["https://fourneaubreadoven.knoji.com/questions/fourneau-bread-oven-affiliate-programs/",63035]
["https://goodiesco.knoji.com/questions/goodies-co-affiliate-programs/",63036]
["https://dragon88.knoji.com/questions/dragon-88-affiliate-programs/",63037]
["https://wefidget.knoji.com/questions/wefidget-affiliate-programs/",63038]
["https://stashedfound.knoji.com/questions/stashed-found-affiliate-programs/",63039]
["https://xtnd.knoji.com/questions/xtnd-affiliate-programs/",63040]
["https://4everknife.knoji.com/questions/4ever-knife-affiliate-programs/",63041]
["https://fitnesshardware.knoji.com/questions/fitness-hardware-affiliate-programs/",63042]
["https://ecocameluk.knoji.com/questions/ecocamel-uk-affiliate-programs/",63043]
["https://barnettprototyping.knoji.com/questions/barnett-prototyping-affiliate-programs/",63044]
["https://variantwatchco.knoji.com/questions/variant-watch-co-affiliate-programs/",63045]
["https://stookeysclubmoderne.knoji.com/questions/stookeys-club-moderne-affiliate-programs/",63046]
["https://prettygoodplanners.knoji.com/questions/pretty-good-planners-affiliate-programs/",63048]
["https://buddyscoop.knoji.com/questions/buddy-scoop-affiliate-programs/",63049]
["https://planoplanner.knoji.com/questions/planoplanner-affiliate-programs/",63050]
["https://buildmodularshelving.knoji.com/questions/build-modular-shelving-affiliate-programs/",63052]
["https://d1gamingsupplies.knoji.com/questions/d1-gaming-supplies-affiliate-programs/",63127]
["https://1face.knoji.com/questions/1face-affiliate-programs/",63306]
["https://destinationdev.knoji.com/questions/destination-dev-affiliate-programs/",64817]
